Date,Adset,URL,Platform,Spend,Visitors,Leads,SiteVisits,Closure,Project
2025-09-15,Adset-3,URL-378,WhatsApp,7999,67934,2299,54,4,Sunshine Meadows
2025-09-15,Adset-9,URL-301,Facebook,8988,9551,1882,77,10,Sunshine Meadows
2025-09-15,Adset-6,URL-246,LinkedIn,2760,27887,1966,23,24,ASBL Loft
2025-09-15,Adset-4,URL-400,Facebook,16961,11326,2042,37,13,ASBL Palm
2025-09-15,Adset-10,URL-116,Facebook,16905,96596,1369,59,0,Riverfront Homes
2025-09-15,Adset-11,URL-327,Meta,5101,19381,1872,61,4,ASBL Loft
2025-09-15,Adset-13,URL-437,LinkedIn,2054,9277,1054,52,6,GreenNest Residency
2025-09-15,Adset-9,URL-457,LinkedIn,11727,5335,1295,57,9,Skyline Towers
2025-09-15,Adset-7,URL-457,Facebook,13032,66438,2761,42,21,GreenNest Residency
2025-09-15,Adset-8,URL-339,Google,2625,91416,2686,11,8,Skyline Towers
2025-09-15,Adset-7,URL-377,Instagram,10131,67487,1759,46,24,ASBL Lakeside
2025-09-15,Adset-11,URL-366,WhatsApp,3744,27765,1352,98,27,ASBL Spectra
2025-09-15,Adset-12,URL-339,YouTube,3082,63052,2354,40,27,GreenNest Residency
2025-09-15,Adset-10,URL-412,Meta,13299,15866,1359,35,24,ASBL Spectra
2025-09-15,Adset-14,URL-377,Google,5302,62543,2967,46,2,ASBL Spire
2025-09-15,Adset-7,URL-327,LinkedIn,8436,68725,1899,78,1,ASBL Spectra
2025-09-15,Adset-10,URL-437,Instagram,14403,36451,1664,40,0,Skyline Towers
2025-09-15,Adset-2,URL-301,YouTube,2710,33073,1001,17,18,ASBL Lakeside
2025-09-15,Adset-1,URL-424,Facebook,12474,53408,1004,47,22,Sunshine Meadows
2025-09-15,Adset-7,URL-116,Facebook,3435,79263,2503,18,21,ASBL Spire
2025-09-15,Adset-10,URL-377,Facebook,19125,37321,2440,58,26,GreenNest Residency
2025-09-15,Adset-7,URL-481,Facebook,17925,44326,2226,66,21,Sunshine Meadows
2025-09-15,Adset-3,URL-327,Instagram,19312,86508,2215,95,28,ASBL Palm
2025-09-15,Adset-10,URL-116,YouTube,15457,68471,1131,90,26,Skyline Towers
2025-09-15,Adset-5,URL-412,Instagram,15550,94132,2844,94,17,GreenNest Residency
2025-09-15,Adset-2,URL-366,Meta,14147,99584,1296,69,0,ASBL Loft
2025-09-15,Adset-9,URL-327,YouTube,6291,5914,2405,42,10,ASBL Lakeside
2025-09-15,Adset-14,URL-437,Facebook,19398,16166,2135,29,10,Elite Enclave
2025-09-15,Adset-10,URL-424,Meta,16458,92975,2274,80,11,ASBL Spire
2025-09-15,Adset-12,URL-164,Google,8987,78438,1218,91,17,ASBL Lakeside
2025-09-15,Adset-9,URL-437,Instagram,18118,17332,2961,20,7,Skyline Towers
2025-09-15,Adset-1,URL-366,YouTube,19061,87335,1295,84,26,Sunshine Meadows
2025-09-15,Adset-12,URL-116,Google,4454,97531,2367,56,8,GreenNest Residency
2025-09-15,Adset-9,URL-366,WhatsApp,5568,10184,1919,86,2,Skyline Towers
2025-09-15,Adset-13,URL-339,Google,4890,76165,2832,22,26,GreenNest Residency
2025-09-15,Adset-10,URL-366,WhatsApp,16805,23260,2777,80,13,ASBL Lakeside
2025-09-15,Adset-3,URL-366,Google,3652,79564,1597,36,27,ASBL Lakeside
2025-09-15,Adset-7,URL-432,Instagram,6423,38727,1888,65,23,Riverfront Homes
2025-09-15,Adset-5,URL-172,Instagram,10817,22001,2181,65,2,ASBL Palm
2025-09-15,Adset-9,URL-437,Facebook,3026,20323,1825,79,23,Skyline Towers
2025-09-15,Adset-9,URL-437,WhatsApp,9177,85467,2106,83,17,ASBL Loft
2025-09-15,Adset-3,URL-400,WhatsApp,8238,27653,1273,43,8,ASBL Loft
2025-09-15,Adset-13,URL-172,Facebook,2765,63316,2630,66,21,ASBL Loft
2025-09-15,Adset-4,URL-172,LinkedIn,17177,42557,2313,55,28,Riverfront Homes
2025-09-16,Adset-14,URL-377,YouTube,14819,66297,2562,77,8,ASBL Spectra
2025-09-16,Adset-2,URL-400,WhatsApp,16901,38754,2605,89,25,ASBL Spire
2025-09-16,Adset-10,URL-327,Meta,8348,54847,1372,6,24,Sunshine Meadows
2025-09-16,Adset-9,URL-301,Instagram,14682,57667,2821,23,6,ASBL Lakeside
2025-09-16,Adset-7,URL-356,YouTube,7466,46521,2309,38,4,GreenNest Residency
2025-09-16,Adset-5,URL-378,WhatsApp,3112,23657,2813,40,22,Elite Enclave
2025-09-16,Adset-9,URL-323,WhatsApp,13390,98000,2436,12,4,ASBL Spire
2025-09-16,Adset-7,URL-356,Facebook,9961,30840,1313,33,3,ASBL Spectra
2025-09-16,Adset-9,URL-172,LinkedIn,3342,73520,2883,58,13,ASBL Lakeside
2025-09-16,Adset-14,URL-327,YouTube,15624,85114,2187,73,14,Riverfront Homes
2025-09-16,Adset-3,URL-437,LinkedIn,6611,60788,1692,81,18,Skyline Towers
2025-09-16,Adset-10,URL-301,WhatsApp,4100,38204,1052,12,18,ASBL Palm
2025-09-16,Adset-9,URL-412,Meta,7125,74169,2248,75,8,Elite Enclave
2025-09-16,Adset-9,URL-164,LinkedIn,7524,16958,1398,43,27,ASBL Loft
2025-09-16,Adset-9,URL-366,Google,1672,9844,1166,10,6,ASBL Loft
2025-09-16,Adset-4,URL-356,Google,5890,11208,2411,31,16,Elite Enclave
2025-09-16,Adset-3,URL-356,Instagram,4467,81561,2372,23,3,Sunshine Meadows
2025-09-16,Adset-13,URL-116,YouTube,12723,23531,1325,79,25,Skyline Towers
2025-09-16,Adset-4,URL-377,Instagram,12603,11493,2346,95,6,ASBL Spectra
2025-09-16,Adset-3,URL-400,Meta,18730,22792,2891,39,10,ASBL Palm
2025-09-16,Adset-9,URL-246,YouTube,11651,43231,1635,83,2,Sunshine Meadows
2025-09-16,Adset-3,URL-323,Facebook,3293,13858,1202,15,5,Skyline Towers
2025-09-16,Adset-3,URL-481,Meta,14019,14153,2610,23,16,ASBL Spire
2025-09-16,Adset-13,URL-432,Facebook,18663,15189,2976,17,9,Riverfront Homes
2025-09-16,Adset-13,URL-366,WhatsApp,2145,45545,1256,25,6,ASBL Spire
2025-09-16,Adset-4,URL-116,YouTube,6718,98953,2890,81,4,ASBL Palm
